DeviceName,deviceId,DataDateTime,GPSLatitude,GPSLongitude,SubmergedBool,PressPod1,PressPod2,SST,TempPod1,TempPod2,TempPod3,TempPod4,TempPod5,TempPod6,TempPod7,37IMSST1,37IMSST2,37IMSST3,37IMSST4,37IMSalinity1,37IMSalinity2,37IMSalinity3,37IMSalinity4,sigT1,sigT2,sigT3,sigT4,LI_192_0,LI_192_0_StdDev,LI_192_1,LI_192_1_StdDev,LI_192_2,LI_192_2_StdDev,LI_192_3,LI_192_3_StdDev,OCR_1_412nm,OCR_1_443nm,OCR_1_555nm,OCR_1_PAR,OCR_1_StdDev,OCR_2_412nm,OCR_2_443nm,OCR_2_555nm,OCR_2_PAR,OCR_2_StdDev,OCR_3_412nm,OCR_3_443nm,OCR_3_555nm,OCR_3_PAR,OCR_3_StdDev,OCR_4_412nm,OCR_4_443nm,OCR_4_555nm,OCR_4_PAR,OCR_4_StdDev,ECO_460CDOM,ECO_532nm,ECO_695Chl,Cyclops_Chl,Cyclops_Chl_StdDev
WB-I-0006,6,3/12/2017 0:00,72.85732218,-147.1033756,0,218.9672,498.9672,33.47871,-1.5,-1.49,-1.51,-1.51,-1.51,-1.49,-0.7706454,-1.507681,-1.506575,-1.505517,-0.455846,27.74411,27.74272,27.74395,29.5856,22.29422,22.33255,22.38762,23.99111,240.2826,-9,3.327992,-9,3.33046,-9,2.1096,-9,0.4591161,0.5896224,0.3108172,3.690451,-9,0.3356875,0.4945624,0.257921,2.86447,-9,0.1779612,0.3269084,0.1051201,2.072803,-9,0.008188406,0.06804096,0.009807825,0.2836773,-9,1.269887,0.000174024,0.04887296,0.1251124,-9
WB-I-0006,6,3/12/2017 1:00,72.85582,-147.098343,0,220,500,31.15,-1.5,-1.49,-1.51,-1.51,-1.51,-1.49,-0.75,-1.5079,-1.5073,-1.5056,-0.6398,27.74403,27.7431,27.74346,29.49982,22.29465,22.33336,22.38772,23.92785,191.6101,-9,2.4096,-9,2.2548,-9,1.5014,-9,0.3408117,0.4394578,0.2184547,2.707407,-9,0.2371165,0.3616267,0.1880383,2.029466,-9,0.1240706,0.233547,0.0717432,1.531394,-9,0.00090083,0.04634508,0.006771746,0.1713205,-9,1.2698,0.000174275,0.0484,0.138095,-9
WB-I-0006,6,3/12/2017 2:00,72.854729,-147.092728,0,220,500,30.06,-1.5,-1.49,-1.51,-1.51,-1.51,-1.49,-0.76,-1.5074,-1.5072,-1.5059,-0.627,27.74424,27.74382,27.74428,29.52352,22.29481,22.33395,22.38839,23.94663,161.7014,-9,1.8072,-9,1.35288,-9,0.7507,-9,0.2057073,0.269661,0.114818,1.593054,-9,0.1267608,0.2134794,0.1089704,1.081566,-9,0.06480914,0.1312829,0.03629336,0.9636227,-9,0,0.0252627,0.003831401,0.04577993,-9,1.2698,0.000167304,0.0605,0.138095,-9
WB-I-0006,6,3/12/2017 3:00,72.853668,-147.085312,0,220,500,29.2,-1.5,-1.49,-1.51,-1.51,-1.51,-1.49,-0.77,-1.5074,-1.5071,-1.5051,-0.6079,27.74505,27.74413,27.74408,29.48925,22.29547,22.3342,22.38822,23.91839,54.46784,-9,1.8072,-9,0.30064,-9,0.15014,-9,0.08194464,0.1167747,0.02935313,0.628319,-9,0.02703268,0.07930953,0.04712996,0.2778013,-9,0.0132262,0.0422283,0.007371045,0.4803375,-9,0,0.005382977,0.001416213,0,-9,1.2698,0.000174275,0.0484,0.138095,-9
WB-I-0006,6,3/12/2017 4:00,72.852226,-147.076996,0,220,500,29.6,-1.5,-1.49,-1.51,-1.51,-1.51,-1.49,-0.73,-1.5075,-1.5071,-1.5064,-0.631,27.74285,27.74251,27.74448,29.46473,22.29369,22.33288,22.38856,23.89925,2.06686,-9,1.8072,-9,0,-9,0,-9,0.0181587,0.0376861,0.000369107,0.2041946,-9,0,0.01268751,0.02547151,0,-9,0,0,0,0.248379,-9,0,0,0.000209424,0,-9,1.2698,0.000174275,0.0605,0.138095,-9
WB-I-0006,6,3/12/2017 5:00,72.850487,-147.068878,0,220,500,29.54,-1.5,-1.49,-1.51,-1.51,-1.51,-1.49,-0.75,-1.5082,-1.5078,-1.5064,-0.625,27.74039,27.74047,27.73975,29.48936,22.2917,22.33123,22.38472,23.91898,2.70E-09,-9,1.8072,-9,0,-9,0,-9,0.01264182,0.03014412,0,0.1700193,-9,0,0.00596918,0.02423367,0,-9,0,0,0,0.2301608,-9,0,0,0,0,-9,1.1791,0.000174275,0.0605,0.150653,-9
WB-I-0006,6,3/12/2017 6:00,72.8481345,-147.0609764,0,220,499.9999,29.65495,-1.5,-1.489993,-1.51,-1.51,-1.51,-1.489965,-0.7400704,-1.507501,-1.5067,-1.505896,-0.6430457,27.73519,27.73408,27.73607,29.46793,22.28747,22.32604,22.38173,23.90218,0.01381267,-9,1.802222,-9,5.39E-05,-9,0.002161907,-9,0.01282903,0.0304447,0,0.169111,-9,0,0.006034748,0.02467008,0,-9,0,0,0,0.2309441,-9,0,0,0.000117363,0,-9,1.267388,0.000174277,0.06064662,0.1382512,-9
WB-I-0006,6,3/12/2017 7:00,72.845291,-147.054138,0,220,500,30.08,-1.5,-1.49,-1.51,-1.51,-1.51,-1.49,-0.75,-1.5081,-1.5078,-1.5064,-0.6481,27.73598,27.73506,27.73543,29.49903,22.28812,22.32685,22.38122,23.92745,-2.00E-10,-9,1.8072,-9,0,-9,0,-9,0.01130828,0.03006157,0,0.1778629,-9,0,0.006322534,0.0241327,0,-9,0,0,0,0.2313915,-9,0,0,0.000178018,0,-9,1.3605,0.000174275,0.0484,0.138095,-9
WB-I-0006,6,3/12/2017 8:00,72.841858,-147.048416,0,220,500,30.24,-1.5,-1.49,-1.51,-1.51,-1.51,-1.48,-0.74,-1.5077,-1.5074,-1.5057,-0.6181,27.73398,27.73334,27.73356,29.49854,22.28649,22.32545,22.3797,23.92619,-1.00E-10,-9,0,-9,0,-9,0,-9,0.01274499,0.03061549,0,0.1792066,-9,0,0.006626148,0.02366096,0,-9,0,0,0,0.2275563,-9,0,0,0,0,-9,1.2698,0.000174275,0.0605,0.138095,-9
WB-I-0006,6,3/12/2017 9:00,72.83818621,-147.0435669,0,220,500.0028,28.65478,-1.5,-1.499894,-1.51,-1.51,-1.51,-1.489866,-0.7300109,-1.50898,-1.508384,-1.50698,-0.5900041,27.7333,27.73211,27.73355,29.48047,22.28595,22.32446,22.3797,23.91078,-0.000248384,-9,0,-9,0,-9,1.00E-06,-9,0.01225737,0.03070292,0,0.1913936,-9,0,0.006098615,0.02321502,0,-9,0,0,0,0.2160984,-9,0,0,0,0,-9,1.268597,0.000174275,0.06067677,0.1506966,-9
