deviceId,DataDateTime,DeviceName,GPSLatitude,GPSLongitude,SubmergedBool,PressPod1,PressPod2,SST,TempPod1,TempPod2,TempPod3,TempPod4,TempPod5,TempPod6,TempPod7,37IMSST1,37IMSST2,37IMSST3,37IMSST4,37IMSalinity1,37IMSalinity2,37IMSalinity3,37IMSalinity4,sigT1,sigT2,sigT3,sigT4,LI_192_0,LI_192_0_StdDev,LI_192_1,LI_192_1_StdDev,LI_192_2,LI_192_2_StdDev,LI_192_3,LI_192_3_StdDev,LI_192_4,LI_192_4_StdDev,LI_192_5,LI_192_5_StdDev,LI_192_6,LI_192_6_StdDev,LI_192_7,LI_192_7_StdDev,LI_192_8,LI_192_8_StdDev,MS9_1_Tilt,MS9_1_410nm,MS9_1_440nm,MS9_1_490nm,MS9_1_510nm,MS9_1_550nm,MS9_1_636nm,MS9_1_660nm,MS9_1_685nm,MS9_1_710nm,MS9_1_PAR,ECO_460CDOM,ECO_532nm,ECO_695Chl,Cyclops_Chl,Cyclops_Chl_StdDev
7,3/30/2018 0:00,WB-I-0007,72.393116,-149.599689,0,208,0,-6.181935,-1.55,-1.55,-1.55,-1.55,0,0,0,-1.555803,-1.556174,-1.555742,-0.2585404,0.0844249,1.908208,1.58995,-0.2585404,0.06786372,1.536518,1.282927,-0.2585404,463.3654,-9,74.73458,-9,65.34648,-9,20.57049,-9,10.05771,-9,6.555427,-9,4.678004,-9,0,-9,0,-9,2.83,1.658378,0.5011923,0.5383141,0.4250678,1.425426,0.2694879,0.09755021,0.04157731,0,8.544107,1.265658,0.000221049,0.1084569,0.5229535,-9
7,3/30/2018 1:00,WB-I-0007,72.393616,-149.603073,0,208,0,-7.39,-1.55,-1.55,-1.55,-1.55,0,0,0,-1.556,-1.5562,-1.5559,-0.7756211,0.2532747,5.724624,4.76985,-0.7756211,0.2035912,4.609554,3.848782,-0.7756211,427.8577,-9,60.57984,-9,52.8697,-9,16.7189,-9,8.11855,-9,5.40398,-9,3.91456,-9,0,-9,0,-9,2.74,1.356658,0.1515813,0.05076403,0.9645459,0.7852259,0.2076376,0.06781109,0.02450101,0,5.645226,1.2698,0.000221049,0.121,0.4360543,-9
7,3/30/2018 2:00,WB-I-0007,72.393997,-149.605392,0,208,0,-9.26,-1.56,-1.55,-1.55,-1.56,0,0,0,-1.556,-1.5565,-1.5569,-1.292702,0.4221245,9.54104,7.94975,-1.292702,0.3393186,7.68259,6.414636,-1.292702,456.3738,-9,43.20768,-9,37.56116,-9,12.00721,-9,5.75679,-9,3.83967,-9,2.71008,-9,0,-9,0,-9,2.69,0.9844693,1.128454,1.538302,1.380845,0.9784055,0.1314465,0.0300348,0.001692457,0,9.667391,1.2698,0.000221049,0.1331,0.5317735,-9
7,3/30/2018 3:00,WB-I-0007,72.394051,-149.606796,0,208,0,-11.14,-1.56,-1.55,-1.55,-1.56,0,0,0,-1.5574,-1.5567,-1.5574,-1.809783,0.5909743,13.35746,11.12965,-1.809783,0.475046,10.75563,8.980491,-1.809783,401.4196,-9,25.09312,-9,21.46352,-9,6.99154,-9,3.24742,-9,2.27536,-9,1.65616,-9,0,-9,0,-9,2.79,0.5819544,0.6667045,0.901293,0.8085715,1.154967,0.05366518,-0.01059189,-0.01921241,0,7.259161,1.3605,0.000221049,0.121,0.4785962,-9
7,3/30/2018 4:00,WB-I-0007,72.393875,-149.608215,0,208,0,-13.37,-1.56,-1.55,-1.55,-1.56,0,0,0,-1.5556,-1.5556,-1.5563,-2.326863,0.7598241,17.17387,14.30955,-2.326863,0.6107734,13.82866,11.54634,-2.326863,355.1242,-9,10.3936,-9,8.83792,-9,4.86368,-9,1.32849,-9,0.85326,-9,0.60224,-9,0,-9,0,-9,2.83,0.2431373,0.2756879,0.3586165,0.3227519,0.4592568,-0.008893821,-0.045563,-0.03685962,0,2.85128,1.3605,0.000221049,0.1331,0.5317735,-9
7,3/30/2018 5:00,WB-I-0007,72.393616,-149.609436,0,208,0,-14.83,-1.56,-1.55,-1.55,-1.56,0,0,0,-1.5562,-1.5563,-1.5567,-2.843944,0.9286739,20.99029,17.48945,-2.843944,0.7465009,16.9017,14.1122,-2.843944,288.8559,-9,1.78176,-9,1.5782,-9,0.45597,-9,0.14761,-9,0.14221,-9,0,-9,0,-9,0,-9,3.08,0.02367102,0.02540448,0.03150725,0.04313641,0.04671436,-0.06256921,-0.07437083,-0.05136406,0,0.2908754,1.2698,0.000221049,0.1331,0.5636799,-9
7,3/30/2018 6:00,WB-I-0007,72.393317,-149.611431,0,208,0,-15.68806,-1.55,-1.55,-1.55,-1.55,0,0,0,-1.554926,-1.554813,-1.555223,-3.361025,1.097524,24.8067,20.66935,-3.361025,0.8822283,19.97473,16.67805,-3.361025,226.494,-9,0.00128428,-9,0.002359371,-9,0,-9,0,-9,0,-9,0.000387361,-9,0,-9,0,-9,3.17,-0.1281565,-0.1513457,-0.1949415,-0.1367273,-0.2351369,-0.1074969,-0.097228,-0.06284063,0,0,1.360371,0.000221049,0.1331086,0.4583706,-9
7,3/30/2018 7:00,WB-I-0007,72.393166,-149.614563,0,208,0,-15.69,-1.55,-1.55,-1.55,-1.55,0,0,0,-1.5548,-1.5545,-1.5547,-3.878106,1.266373,28.62312,23.84925,-3.878106,1.017956,23.04777,19.24391,-3.878106,209.8881,-9,0,-9,0,-9,0,-9,0,-9,0,-9,0,-9,0,-9,0,-9,3.43,-0.250635,-0.2933329,-0.3768224,-0.2701482,-0.4621433,-0.1434704,-0.1143471,-0.07140423,0,0,1.2698,0.000221049,0.1331,0.4679607,-9
7,3/30/2018 8:00,WB-I-0007,72.393173,-149.618469,0,208,0,-15.81,-1.55,-1.55,-1.55,-1.55,0,0,0,-1.5529,-1.5532,-1.5529,-4.395186,1.435223,28.622,27.02915,-4.395186,1.153683,23.04684,21.80976,-4.395186,25.28355,-9,0,-9,0,-9,0,-9,0,-9,0,-9,0,-9,0,-9,0,-9,3.58,-0.3424927,-0.3993011,-0.5125511,-0.3598156,-0.6321246,-0.1702831,-0.1259409,-0.07716974,0,0,1.3605,0.000221049,0.1331,0.4254188,-9
7,3/30/2018 9:00,WB-I-0007,72.393428,-149.623141,0,208,0,-16.08613,-1.55,-1.55,-1.55,-1.55,0,0,0,-1.555784,-1.554994,-1.55549,-4.912267,1.604073,28.62008,28.61898,-4.912267,1.289411,23.04531,23.09259,-4.912267,1.033615,-9,0.000000476,-9,8.73E-07,-9,0,-9,0,-9,0,-9,0.000000144,-9,0,-9,0,-9,3.45,-0.402458,-0.4679946,-0.6005431,-0.4084185,-0.7429004,-0.1877284,-0.1322218,-0.08025206,0,0,1.360714,0.000221105,0.1209978,0.4353682,-9
