deviceId,DataDateTime,DeviceName,GPSLatitude,GPSLongitude,SubmergedBool,PressPod1,PressPod2,SST,TempPod1,TempPod2,TempPod3,TempPod4,TempPod5,TempPod6,TempPod7,37IMSST1,37IMSST2,37IMSST3,37IMSST4,37IMSalinity1,37IMSalinity2,37IMSalinity3,37IMSalinity4,sigT1,sigT2,sigT3,sigT4,LI_192_0,LI_192_0_StdDev,LI_192_1,LI_192_1_StdDev,LI_192_2,LI_192_2_StdDev,LI_192_3,LI_192_3_StdDev,LI_192_4,LI_192_4_StdDev,LI_192_5,LI_192_5_StdDev,LI_192_6,LI_192_6_StdDev,LI_192_7,LI_192_7_StdDev,LI_192_8,LI_192_8_StdDev,MS9_1_Tilt,MS9_1_410nm,MS9_1_440nm,MS9_1_490nm,MS9_1_510nm,MS9_1_550nm,MS9_1_636nm,MS9_1_660nm,MS9_1_685nm,MS9_1_710nm,MS9_1_PAR,ECO_460CDOM,ECO_532nm,ECO_695Chl,Cyclops_Chl,Cyclops_Chl_StdDev,,,
8,3/31/2018 0:00,WB-I-0008,71.839302,-144.331604,0,212,499,-3.68,-1.55,-1.55,-1.55,-1.54,-1.56,-1.56,-0.72,-1.553,-1.5439,-1.5656,-0.2357,28.08568,28.80926,27.06269,31.03894,22.57181,23.19885,21.83219,25.15647,455.7386,-9,17.20716,-9,11.79975,-9,10.20272,-9,6.50034,-9,4.3964,-9,3.14307,-9,1.63724,-9,0.49638,-9,0.67,0.7305423,1.012911,1.113025,1.069301,1.756273,0.07250735,0,0,0,10.31547,1.0884,0.00024273,0.242,0.1382489,-9,,,
8,3/31/2018 1:00,WB-I-0008,71.83985,-144.335104,0,212,499,-7.00871,-1.55,-1.55,-1.55,-1.530323,-1.56,-1.56,-0.592258,-1.552981,-1.545839,-1.558932,-0.2365226,27.52989,28.80813,27.49769,31.051,22.12089,23.19795,22.18497,25.16624,705.4363,-9,15.69679,-9,10.79689,-9,9.53351,-9,5.9337,-9,4.125805,-9,3.017514,-9,1.499763,-9,0.3338604,-9,0.88,0.6224575,0.8938805,1.024786,0.9956219,1.635114,0.06741557,-0.01151361,0,0,9.465169,1.087618,0.000233914,0.2539108,0.1843616,-9,,,
8,3/31/2018 2:00,WB-I-0008,71.840332,-144.33786,0,212,499,-9.76,-1.55,-1.55,-1.55,-1.54,-1.55,-1.55,-0.56,-1.5531,-1.5472,-1.5558,-0.2354,28.53249,28.81096,28.02263,31.03653,22.93434,23.20027,22.61076,25.15451,297.7092,-9,6.94324,-9,4.87723,-9,4.65124,-9,2.94063,-9,1.9708,-9,1.4967,-9,0.7442,-9,0.16546,-9,1.07,0.3317764,0.4508545,0.4710678,0.4495421,0.787926,-0.08358239,-0.01826928,0,0,4.452621,1.0884,0.00023436,0.242,0.1382489,-9,,,
8,3/31/2018 3:00,WB-I-0008,71.840706,-144.339935,0,212,499,-10.21,-1.55,-1.55,-1.55,-1.54,-1.56,-1.56,-0.57,-1.549,-1.5465,-1.5571,-0.235,28.80667,28.80947,28.45453,31.08425,23.15677,23.19905,22.96113,25.19301,139.9022,-9,3.62256,-9,4.87723,-9,2.40064,-9,1.536874,-9,1.0612,-9,0.74835,-9,0.29768,-9,0,-9,1.26,0.1611426,0.2221888,0.2246312,0.2140077,0.408781,-0.2272737,-0.02109182,0,0,2.231356,1.0884,0.00022599,0.242,0.1382489,-9,,,
8,3/31/2018 4:00,WB-I-0008,71.840978,-144.341601,0,212,499,-10.52613,-1.55,-1.55,-1.55,-1.54,-1.56,-1.56,-0.61,-1.550465,-1.547852,-1.554055,-0.2358258,28.80664,28.80906,28.8302,31.0985,23.15676,23.19873,23.26587,25.20453,46.40715,-9,1.068528,-9,4.850659,-9,0.7696682,-9,0.4771551,-9,0.3097971,-9,0.1576379,-9,0.002660096,-9,0,-9,1.21,0.02582074,0.04201065,0.03455616,0.03646016,0.1218266,-0.3413964,-0.02080606,0,0,0.5301675,1.0884,0.000234649,0.2538889,0.1495212,-9,,,
8,3/31/2018 5:00,WB-I-0008,71.841171,-144.343277,0,212,499,-10.69,-1.56,-1.55,-1.55,-1.54,-1.56,-1.56,-0.65,-1.5517,-1.5501,-1.558,-0.2334,28.80806,28.80725,28.84905,31.07629,23.15793,23.19729,23.2812,25.18652,5.22687,-9,0.45282,-9,0,-9,0,-9,0,-9,0,-9,0,-9,0,-9,0,-9,1.21,-0.08168497,-0.1025166,-0.1197037,-0.1042084,-0.05849312,-0.4280257,-0.01823679,0,0,0,1.0884,0.00023436,0.2541,0.1497697,-9,,,
8,3/31/2018 6:00,WB-I-0008,71.841385,-144.345184,0,212,499,-10.3,-1.55,-1.56,-1.56,-1.55,-1.56,-1.55,-0.64,-1.5515,-1.5503,-1.5579,-0.2423,28.8061,28.80745,28.85072,31.07838,23.15633,23.19745,23.28256,25.18856,0,-9,0,-9,0,-9,0,-9,0,-9,0,-9,0,-9,0,-9,0,-9,0.93,-0.1776129,-0.2336743,-0.2603353,-0.2329261,-0.2084734,-0.4892368,-0.01420885,0,0,0,1.0884,0.00023436,0.242,0.1497697,-9,,,
8,3/31/2018 7:00,WB-I-0008,71.841663,-144.347988,0,212,499,-9.884516,-1.55,-1.55,-1.559677,-1.55,-1.56,-1.55,-0.6209677,-1.547948,-1.551426,-1.558471,-0.2319935,28.80091,28.80664,28.85242,31.012,23.15208,23.19681,23.28394,25.13458,0.000138839,-9,0,-9,0.000554919,-9,2.42E-05,-9,1.04E-05,-9,1.40E-05,-9,0,-9,9.83E-07,-9,0,-9,1.02,-0.2591313,-0.3469048,-0.3821454,-0.3447595,-0.3307283,-0.5271047,-0.009547042,0,0,0,1.0884,0.000242551,0.2545077,0.1506664,-9,,,
8,3/31/2018 8:00,WB-I-0008,71.842244,-144.351139,0,212,499,-9.850645,-1.56,-1.56,-1.56,-1.55,-1.56,-1.55,-0.6890323,-1.559032,-1.558687,-1.558355,-0.2253419,28.804,28.80394,28.85548,31.04793,23.15471,23.19471,23.28642,25.16332,9.95E-06,-9,0,-9,3.98E-05,-9,1.73E-06,-9,7.48E-07,-9,1.00E-06,-9,7.14E-07,-9,7.05E-08,-9,0,-9,0.95,-0.3234086,-0.4376504,-0.479941,-0.4347749,-0.4222561,-0.5437049,-0.00507619,0,0,0,1.0884,0.000242346,0.2630811,0.1478155,-9,,,
8,3/31/2018 9:00,WB-I-0008,71.843292,-144.355072,0,212,499,-10.03,-1.56,-1.56,-1.56,-1.55,-1.56,-1.55,-0.77,-1.5603,-1.5587,-1.5554,-0.2189,28.80471,28.80607,28.84857,30.99521,23.15531,23.19643,23.28078,25.12052,0,-9,0,-9,0,-9,0,-9,0,-9,0,-9,0,-9,0,-9,0,-9,0.82,-0.367613,-0.5013532,-0.5485288,-0.4980387,-0.4800548,-0.5411124,-0.00162111,0,0,0,1.0884,0.00024273,0.2541,0.1612904,-9,,,
8,3/31/2018 10:00,WB-I-0008,71.844739,-144.358971,0,212,499,-9.698709,-1.57,-1.56,-1.569677,-1.56,-1.56,-1.55,-0.7983871,-1.563316,-1.559426,-1.548126,-0.226429,28.79864,28.80623,28.8345,31.10617,23.15041,23.19656,23.26928,25.21036,3.28E-07,-9,0,-9,2.53E-07,-9,9.26E-08,-9,8.50E-09,-9,1.98E-08,-9,0,-9,0.000000014,-9,0,-9,1.28,-0.3889129,-0.5334556,-0.5827157,-0.5296175,-0.5011227,-0.5214024,-6.62E-06,0,0,0,1.0884,0.000234541,0.2544164,0.1500134,-9,,,
8,3/31/2018 11:00,WB-I-0008,71.846657,-144.362762,0,212,499,-9.73,-1.56,-1.56,-1.56,-1.56,-1.55,-1.55,-0.78,-1.5586,-1.5586,-1.5529,-0.2267,28.78023,28.79741,28.84247,31.09714,23.13542,23.1894,23.2758,25.20308,0,-9,0,-9,0,-9,0,-9,0,-9,0,-9,0,-9,0,-9,0,-9,1.31,-0.3844764,-0.5293997,-0.5773085,-0.5245776,-0.4824577,-0.48665,0,0,0,0,1.0884,0.00023436,0.242,0.1497697,-9,,,
8,3/31/2018 12:00,WB-I-0008,71.849045,-144.366486,0,212,499,-9.93,-1.56,-1.56,-1.56,-1.56,-1.54,-1.52,-0.75,-1.5587,-1.5556,-1.5516,-0.2243,28.77843,28.79641,28.84094,31.08546,23.13396,23.18856,23.27455,25.19356,0,-9,0,-9,0,-9,0,-9,0,-9,0,-9,0,-9,0,-9,0,-9,1.55,-0.3514719,-0.4846278,-0.5271142,-0.4779853,-0.4210582,-0.4389306,0,0,0,0,1.0884,0.00024273,0.2299,0.1497697,-9,,,
8,3/31/2018 13:00,WB-I-0008,71.85183,-144.369446,0,212,499,-10.94,-1.56,-1.56,-1.56,-1.55,-1.56,-1.54,-0.63,-1.5594,-1.558,-1.5588,-0.2219,28.77842,28.77808,28.83733,30.9806,23.13396,23.17371,23.2717,25.10885,0,-9,0,-9,0,-9,0,-9,0,-9,0,-9,0,-9,0,-9,0,-9,1.85,-0.2870677,-0.3945822,-0.4269393,-0.3849071,-0.3139221,-0.3803192,0,0,0,0,1.0884,0.00024273,0.2299,0.1497697,-9,,,
8,3/31/2018 14:00,WB-I-0008,71.85477,-144.372046,0,212,499,-11.66742,-1.56,-1.569677,-1.57,-1.559677,-1.540323,-1.490645,-0.5216129,-1.560884,-1.5598,-1.542868,-0.2359677,28.78094,28.78404,28.81507,30.93236,23.13602,23.17858,23.25345,25.07047,0.8167441,-9,0,-9,0.001795569,-9,0.00315019,-9,0.000176809,-9,0.000552876,-9,0,-9,0,-9,0,-9,1.79,-0.188432,-0.254705,-0.2715908,-0.2404094,-0.1580477,-0.3128911,-2.00E-10,0,0,0,1.088388,0.000234293,0.2414367,0.1503313,-9,,,
8,3/31/2018 15:00,WB-I-0008,71.858154,-144.373306,0,212,499,-11.11,-1.56,-1.56,-1.57,-1.56,-1.55,-1.5,-0.66,-1.5621,-1.5598,-1.5563,-0.2376,28.78525,28.78404,28.80039,30.93369,23.13953,23.17857,23.2417,25.07161,29.69307,-9,0.60376,-9,0.47199,-9,0.45012,-9,0.15477,-9,0.1516,-9,0,-9,0,-9,0,-9,2.27,-0.05273309,-0.0604385,-0.05587556,-0.03955863,0.04956697,-0.2387215,0,0,0,0.1429138,1.0884,0.00023436,0.242,0.1843319,-9,,,
